experiment,seed,ep_mean,ep_std,ep_min,ep_max,n_episodes
dqn_tiny,2574,12.8,1.47,10.0,15.0,10
dqn_tiny,3545,21.8,3.34,17.0,28.0,10
dqn_tiny,5181,10.6,0.92,9.0,12.0,10
dqn_tiny,8071,10.1,1.14,8.0,12.0,10
dqn_tiny,8805,9.2,0.6,8.0,10.0,10
dqn_100,2574,12.7,1.27,11.0,15.0,10
dqn_100,3545,36.2,11.03,23.0,62.0,10
dqn_100,5181,20.8,3.6,15.0,27.0,10
dqn_100,8071,45.1,16.02,29.0,80.0,10
dqn_100,8805,14.0,2.32,11.0,18.0,10
dqn_200,2574,130.9,8.17,118.0,145.0,10
dqn_200,3545,21.0,3.82,15.0,28.0,10
dqn_200,5181,48.5,14.32,33.0,74.0,10
dqn_200,8071,52.6,34.07,28.0,144.0,10
dqn_200,8805,33.7,5.78,25.0,45.0,10
dqn_500,2574,231.9,90.31,121.0,452.0,10
dqn_500,3545,124.9,14.77,108.0,151.0,10
dqn_500,5181,95.5,12.24,77.0,120.0,10
dqn_500,8071,433.7,132.62,163.0,500.0,10
dqn_500,8805,186.3,40.76,152.0,288.0,10
dqn_1000,2574,332.5,114.31,88.0,500.0,10
dqn_1000,3545,391.5,114.8,179.0,500.0,10
dqn_1000,5181,498.2,5.4,482.0,500.0,10
dqn_1000,8071,318.8,142.16,124.0,500.0,10
dqn_1000,8805,364.7,71.69,245.0,500.0,10
dqn,2574,500.0,0.0,500.0,500.0,10
dqn,3545,500.0,0.0,500.0,500.0,10
dqn,5181,500.0,0.0,500.0,500.0,10
dqn,8071,498.1,5.7,481.0,500.0,10
dqn,8805,500.0,0.0,500.0,500.0,10
